"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"5121","Panorama","Instruction",7516,5479110,"600-999","3","Reading",42,52,"80.80","80.1 - 90%"
2017,"5139","Paton-Churdan","Instruction",9333,1847972,"<300","1","Reading",10,12,"83.30","80.1 - 90%"
2017,"5163","Pekin","Instruction",7933,5062829,"600-999","3","Reading",40,54,"74.10","70.1 - 80%"
2017,"5166","Pella","Instruction",6980,14941277,"1,000-2,499","4","Reading",133,153,"86.90","80.1 - 90%"
2017,"5184","Perry","Instruction",8188,14546520,"1,000-2,499","4","Reading",100,147,"68.00","60.1 - 70%"
2017,"5250","Pleasant Valley","Instruction",6962,31549860,"2,500-7,499","5","Reading",316,349,"90.50","90.1 - 100%"
2017,"5256","Pleasantville","Instruction",8780,5948561,"600-999","3","Reading",51,58,"87.90","80.1 - 90%"
2017,"5283","Pocahontas Area","Instruction",7954,5702085,"600-999","3","Reading",35,44,"79.50","70.1 - 80%"
2017,"5310","Postville","Instruction",8356,5633663,"600-999","3","Reading",18,48,"37.50","30.1 - 40%"
2017,"5463","Red Oak","Instruction",7358,8337480,"1,000-2,499","4","Reading",55,70,"78.60","70.1 - 80%"
2017,"5508","Riceville","Instruction",8802,2721607,"300-599","2","Reading",15,25,"60.00","50.1 - 60%"
2017,"1975","River Valley","Instruction",8384,3601891,"300-599","2","Reading",25,29,"86.20","80.1 - 90%"
2017,"5607","Rock Valley","Instruction",8605,6365161,"600-999","3","Reading",38,48,"79.20","70.1 - 80%"
2017,"5643","Roland-Story","Instruction",7701,7779848,"1,000-2,499","4","Reading",65,82,"79.30","70.1 - 80%"
2017,"5697","Rudd-Rockford-Marble Rk","Instruction",8445,3802117,"300-599","2","Reading",32,44,"72.70","70.1 - 80%"
2017,"5724","Ruthven-Ayrshire","Instruction",9129,2245727,"<300","1","Reading",12,14,"85.70","80.1 - 90%"
2017,"5805","Saydel","Instruction",9201,10585364,"1,000-2,499","4","Reading",61,92,"66.30","60.1 - 70%"
2017,"5877","Sergeant Bluff-Luton","Instruction",8656,12146009,"1,000-2,499","4","Reading",98,108,"90.70","90.1 - 100%"
2017,"5895","Seymour","Instruction",8044,2394613,"<300","1","Reading",9,11,"81.80","80.1 - 90%"
2017,"5949","Sheldon","Instruction",6732,7267083,"1,000-2,499","4","Reading",65,85,"76.50","70.1 - 80%"
2017,"5976","Shenandoah","Instruction",7028,7937643,"1,000-2,499","4","Reading",54,64,"84.40","80.1 - 90%"
2017,"5994","Sibley-Ocheyedan","Instruction",6489,4983889,"600-999","3","Reading",41,57,"71.90","70.1 - 80%"
2017,"6003","Sidney","Instruction",10883,4209356,"300-599","2","Reading",23,26,"88.50","80.1 - 90%"
2017,"6012","Sigourney","Instruction",7794,4127852,"300-599","2","Reading",30,39,"76.90","70.1 - 80%"
