"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"0657","Eddyville-Blakesburg-","Instruction",8113,7133925,"600-999","3","Reading",37,55,"67.30","60.1 - 70%"
2017,"1989","Edgewood-Colesburg","Instruction",9374,3749535,"300-599","2","Reading",26,38,"68.40","60.1 - 70%"
2017,"2007","Eldora-New Providence","Instruction",9318,5843343,"600-999","3","Reading",40,51,"78.40","70.1 - 80%"
2017,"2088","Emmetsburg","Instruction",9048,6081925,"600-999","3","Reading",40,55,"72.70","70.1 - 80%"
2017,"2097","English Valleys","Instruction",9264,4207606,"300-599","2","Reading",20,23,"87.00","80.1 - 90%"
2017,"2113","Essex","Instruction",9467,1923731,"<300","1","Reading",11,17,"64.70","60.1 - 70%"
2017,"2124","Estherville Lincoln","Instruction",7504,10331155,"1,000-2,499","4","Reading",73,93,"78.50","70.1 - 80%"
2017,"2151","Exira-Elk Horn-","Instruction",8303,3403272,"300-599","2","Reading",19,25,"76.00","70.1 - 80%"
2017,"2169","Fairfield","Instruction",7225,12066957,"1,000-2,499","4","Reading",83,103,"80.60","80.1 - 90%"
2017,"2295","Forest City","Instruction",8270,9027591,"1,000-2,499","4","Reading",81,93,"87.10","80.1 - 90%"
2017,"2313","Fort Dodge","Instruction",7314,27551246,"2,500-7,499","5","Reading",177,250,"70.80","70.1 - 80%"
2017,"2322","Fort Madison","Instruction",7399,16375679,"1,000-2,499","4","Reading",94,118,"79.70","70.1 - 80%"
2017,"2369","Fremont-Mills","Instruction",8110,3795662,"300-599","2","Reading",18,30,"60.00","50.1 - 60%"
2017,"2682","GMG","Instruction",11637,3481803,"<300","1","Reading",25,30,"83.30","80.1 - 90%"
2017,"2376","Galva-Holstein","Instruction",8480,3782075,"300-599","2","Reading",39,54,"72.20","70.1 - 80%"
2017,"2403","Garner-Hayfield-Ventura","Instruction",8941,8051937,"600-999","3","Reading",68,81,"84.00","80.1 - 90%"
2017,"2457","George-Little Rock","Instruction",7433,3441671,"300-599","2","Reading",22,31,"71.00","70.1 - 80%"
2017,"2466","Gilbert","Instruction",7900,10988328,"1,000-2,499","4","Reading",103,105,"98.10","90.1 - 100%"
2017,"2502","Gladbrook-Reinbeck","Instruction",7527,4419090,"300-599","2","Reading",27,41,"65.90","60.1 - 70%"
2017,"2511","Glenwood","Instruction",6801,13595417,"1,000-2,499","4","Reading",108,125,"86.40","80.1 - 90%"
2017,"2520","Glidden-Ralston","Instruction",9902,2673465,"<300","1","Reading",14,17,"82.40","80.1 - 90%"
2017,"2556","Graettinger-Terril","Instruction",8561,3039130,"300-599","2","Reading",16,18,"88.90","80.1 - 90%"
2017,"3195","Greene County","Instruction",7860,10208004,"1,000-2,499","4","Reading",84,94,"89.40","80.1 - 90%"
2017,"2709","Grinnell-Newburg","Instruction",7472,11976648,"1,000-2,499","4","Reading",107,122,"87.70","80.1 - 90%"
2017,"2718","Griswold","Instruction",7596,4017386,"300-599","2","Reading",34,42,"81.00","80.1 - 90%"
2017,"2727","Grundy Center","Instruction",7994,5071992,"600-999","3","Reading",39,44,"88.60","80.1 - 90%"
2017,"2754","Guthrie Center","Instruction",9267,4207212,"300-599","2","Reading",36,42,"85.70","80.1 - 90%"
2017,"2766","H-L-V","Instruction",7778,2719846,"300-599","2","Reading",16,19,"84.20","80.1 - 90%"
2017,"2781","Hampton-Dumont","Instruction",8572,10373934,"1,000-2,499","4","Reading",54,70,"77.10","70.1 - 80%"
2017,"2826","Harlan","Instruction",7772,10973990,"1,000-2,499","4","Reading",117,133,"88.00","80.1 - 90%"
2017,"2846","Harris-Lake Park","Instruction",6812,2243945,"300-599","2","Reading",18,19,"94.70","90.1 - 100%"
2017,"2862","Hartley-Melvin-Sanborn","Instruction",8560,5431423,"600-999","3","Reading",23,34,"67.60","60.1 - 70%"
2017,"2977","Highland","Instruction",9014,5560985,"600-999","3","Reading",35,44,"79.50","70.1 - 80%"
2017,"2988","Hinton","Instruction",10385,5441597,"300-599","2","Reading",41,48,"85.40","80.1 - 90%"
2017,"3029","Howard-Winneshiek","Instruction",7972,9546827,"1,000-2,499","4","Reading",70,89,"78.70","70.1 - 80%"
2017,"3042","Hudson","Instruction",8098,5500447,"600-999","3","Reading",40,44,"90.90","90.1 - 100%"
2017,"3060","Humboldt","Instruction",8196,9916760,"1,000-2,499","4","Reading",91,103,"88.30","80.1 - 90%"
2017,"3168","IKM-Manning","Instruction",7608,5215447,"600-999","3","Reading",36,43,"83.70","80.1 - 90%"
2017,"3105","Independence","Instruction",8018,11469991,"1,000-2,499","4","Reading",90,107,"84.10","80.1 - 90%"
2017,"3114","Indianola","Instruction",6845,23761274,"2,500-7,499","5","Reading",203,240,"84.60","80.1 - 90%"
2017,"3119","Interstate 35","Instruction",7356,6389443,"600-999","3","Reading",57,67,"85.10","80.1 - 90%"
2017,"3141","Iowa City","Instruction",7631,104330578,"7,500+","6","Reading",680,871,"78.10","70.1 - 80%"
2017,"3150","Iowa Falls","Instruction",8464,9198818,"1,000-2,499","4","Reading",79,97,"81.40","80.1 - 90%"
2017,"3154","Iowa Valley","Instruction",8276,4363903,"300-599","2","Reading",21,28,"75.00","70.1 - 80%"
2017,"3186","Janesville Consolidated","Instruction",8785,3303871,"300-599","2","Reading",24,27,"88.90","80.1 - 90%"
2017,"3204","Jesup","Instruction",7486,6620433,"600-999","3","Reading",43,49,"87.80","80.1 - 90%"
2017,"3231","Johnston","Instruction",7702,52036625,"2,500-7,499","5","Reading",416,467,"89.10","80.1 - 90%"
2017,"3312","Keokuk","Instruction",7767,14847375,"1,000-2,499","4","Reading",88,127,"69.30","60.1 - 70%"
2017,"3330","Keota","Instruction",9152,2945935,"300-599","2","Reading",16,20,"80.00","70.1 - 80%"
2017,"3348","Kingsley-Pierson","Instruction",7516,3639098,"300-599","2","Reading",31,37,"83.80","80.1 - 90%"
2017,"3375","Knoxville","Instruction",7060,12543448,"1,000-2,499","4","Reading",79,108,"73.10","70.1 - 80%"
2017,"3420","Lake Mills","Instruction",8842,5497191,"600-999","3","Reading",41,52,"78.80","70.1 - 80%"
2017,"3465","Lamoni","Instruction",9384,2671746,"<300","1","Reading",14,27,"51.90","50.1 - 60%"
2017,"3555","Lawton-Bronson","Instruction",7898,4725307,"300-599","2","Reading",30,35,"85.70","80.1 - 90%"
2017,"3600","Le Mars","Instruction",7203,15289707,"1,000-2,499","4","Reading",127,151,"84.10","80.1 - 90%"
2017,"3609","Lenox","Instruction",7994,3781098,"300-599","2","Reading",27,30,"90.00","80.1 - 90%"
2017,"3645","Lewis Central","Instruction",8809,22791741,"2,500-7,499","5","Reading",186,225,"82.70","80.1 - 90%"
2017,"3715","Linn-Mar","Instruction",7214,51925142,"2,500-7,499","5","Reading",412,493,"83.60","80.1 - 90%"
2017,"3744","Lisbon","Instruction",6978,4691357,"600-999","3","Reading",38,45,"84.40","80.1 - 90%"
2017,"3798","Logan-Magnolia","Instruction",8518,4727474,"300-599","2","Reading",46,58,"79.30","70.1 - 80%"
2017,"3816","Lone Tree","Instruction",8011,3039245,"300-599","2","Reading",24,29,"82.80","80.1 - 90%"
2017,"3841","Louisa-Muscatine","Instruction",8005,5896497,"600-999","3","Reading",52,59,"88.10","80.1 - 90%"
2017,"3906","Lynnville-Sully","Instruction",8221,3566913,"300-599","2","Reading",31,36,"86.10","80.1 - 90%"
2017,"4419","MFL MarMac","Instruction",7529,5891473,"600-999","3","Reading",36,43,"83.70","80.1 - 90%"
